introduction_id,country_id,year_id,description,intro_status
145954,15,2020,HPV (Human Papilloma Virus) vaccine,No
145955,15,2020,IPV (Inactivated polio vaccine),Yes
145956,15,2020,IPV (Inactivated polio vaccine) 2nd dose,No
145957,15,2020,Japanese Encephalitis,No
145958,15,2020,Malaria vaccine,No
145959,15,2020,Measles-containing vaccine 2nd dose,Yes
145960,15,2020,Meningococcal meningitis vaccines (all strains),No
145961,15,2020,Mumps vaccine,No
145962,15,2020,PCV (Pneumococcal conjugate vaccine),Yes
145963,15,2020,PPV (Pneumococcal polysaccharide vaccine),No
145964,15,2020,Rotavirus vaccine,Yes
145965,15,2020,Rubella vaccine,Yes
145966,15,2020,Seasonal Influenza vaccine,No
145967,15,2020,Typhoid,No
145968,15,2020,Varicella vaccine,No
145969,15,2020,YF (Yellow fever) vaccine,No
145970,15,2019,aP (acellular pertussis) vaccine,No
145971,15,2019,Hepatitis A vaccine,No
145972,15,2019,Hepatitis B vaccine,Yes
145973,15,2019,HepB birth dose,No
145974,15,2019,Hib (Haemophilus influenzae type B) vaccine,Yes
145975,15,2019,HPV (Human Papilloma Virus) vaccine,No
145976,15,2019,IPV (Inactivated polio vaccine),Yes
145977,15,2019,IPV (Inactivated polio vaccine) 2nd dose,No
145978,15,2019,Japanese Encephalitis,No
145979,15,2019,Malaria vaccine,No
145980,15,2019,Measles-containing vaccine 2nd dose,Yes
145981,15,2019,Meningococcal meningitis vaccines (all strains),No
145982,15,2019,Mumps vaccine,No
145983,15,2019,PCV (Pneumococcal conjugate vaccine),Yes
145984,15,2019,PPV (Pneumococcal polysaccharide vaccine),No
145985,15,2019,Rotavirus vaccine,Yes
145986,15,2019,Rubella vaccine,Yes
145987,15,2019,Seasonal Influenza vaccine,No
145988,15,2019,Typhoid,No
145989,15,2019,Varicella vaccine,No
145990,15,2019,YF (Yellow fever) vaccine,No
145991,15,2018,aP (acellular pertussis) vaccine,No
145992,15,2018,Hepatitis A vaccine,No
145993,15,2018,Hepatitis B vaccine,Yes
145994,15,2018,HepB birth dose,No
145995,15,2018,Hib (Haemophilus influenzae type B) vaccine,Yes
145996,15,2018,HPV (Human Papilloma Virus) vaccine,No
145997,15,2018,IPV (Inactivated polio vaccine),Yes
145998,15,2018,IPV (Inactivated polio vaccine) 2nd dose,No
145999,15,2018,Japanese Encephalitis,No
146000,15,2018,Measles-containing vaccine 2nd dose,Yes
146001,15,2018,Meningococcal meningitis vaccines (all strains),No
146002,15,2018,Mumps vaccine,No
146003,15,2018,PCV (Pneumococcal conjugate vaccine),Yes
146004,15,2018,PPV (Pneumococcal polysaccharide vaccine),No
146005,15,2018,Rotavirus vaccine,Yes
146006,15,2018,Rubella vaccine,Yes
146007,15,2018,Seasonal Influenza vaccine,No
146008,15,2018,Typhoid,No
146009,15,2018,Varicella vaccine,No
146010,15,2018,YF (Yellow fever) vaccine,No
146011,15,2017,aP (acellular pertussis) vaccine,No
146012,15,2017,Hepatitis A vaccine,No
146013,15,2017,Hepatitis B vaccine,Yes
146014,15,2017,HepB birth dose,No
146015,15,2017,Hib (Haemophilus influenzae type B) vaccine,Yes
146016,15,2017,HPV (Human Papilloma Virus) vaccine,No
146017,15,2017,IPV (Inactivated polio vaccine),Yes
146018,15,2017,IPV (Inactivated polio vaccine) 2nd dose,No
146019,15,2017,Japanese Encephalitis,No
146020,15,2017,Measles-containing vaccine 2nd dose,Yes
146021,15,2017,Meningococcal meningitis vaccines (all strains),No
146022,15,2017,Mumps vaccine,No
146023,15,2017,PCV (Pneumococcal conjugate vaccine),Yes
146024,15,2017,PPV (Pneumococcal polysaccharide vaccine),No
146025,15,2017,Rotavirus vaccine,Yes
146026,15,2017,Rubella vaccine,Yes
146027,15,2017,Seasonal Influenza vaccine,No
146028,15,2017,Typhoid,No
146029,15,2017,Varicella vaccine,No
146030,15,2017,YF (Yellow fever) vaccine,No
146031,15,2016,aP (acellular pertussis) vaccine,No
146032,15,2016,Hepatitis A vaccine,No
146033,15,2016,Hepatitis B vaccine,Yes
146034,15,2016,HepB birth dose,No
